LATITUDE,LONGITUDE,STATE,CITY,NAME,OBJECTID,ID,ADDRESS,ZIP,TELEPHONE,TYPE,STATUS,COUNTY,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,WEBSITE,ALT_NAME,OWNER,BEDS,TRAUMA,HELIPAD
41.09621147,-73.92601813,NY,NYACK,NYACK HOSPITAL,354,10110960,160 N MIDLAND AVE,10960,(845) 348-2000,GENERAL ACUTE CARE,OPEN,ROCKLAND,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,http://www.nyackhospital.org,NOT AVAILABLE,NON-PROFIT,375,AREA,N
40.78005719,-72.97714065,NY,PATCHOGUE,BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,380,11711772,101 HOSPITAL RD,11772,(631) 654-7100,GENERAL ACUTE CARE,OPEN,SUFFOLK,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,http://www.bmhmc.org,NOT AVAILABLE,NON-PROFIT,306,AREA,Y
43.48028185,-110.7495779,WY,JACKSON,TETON COUNTY HOSPITAL DISTRICT,2324,3783001,625 EAST BROADWAY,83001,(307) 733-3636,GENERAL ACUTE CARE,OPEN,TETON,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://health.wyo.gov/aging/hls/healthcare-facility-directory/,http://www.tetonhospital.org/,ST JOHN'S MEDICAL CENTER,NON-PROFIT,48,ATH,Y
46.58267004,-111.9974384,MT,HELENA,ST PETERS HOSPITAL,649,5859601,2475 E BROADWAY ST,59601,(406) 442-2480,GENERAL ACUTE CARE,OPEN,LEWIS AND CLARK,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://dphhs.mt.gov/qad/healthcarefacilitieslist,www.stpetes.org,NOT AVAILABLE,NON-PROFIT,123,ATH,Y
46.00851666,-112.5455135,MT,BUTTE,ST JAMES HEALTHCARE,3504,5559701,400 S CLARK ST,59701,(406) 723-2500,GENERAL ACUTE CARE,OPEN,SILVER BOW,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://dphhs.mt.gov/qad/healthcarefacilitieslist,http://www.stjameshealthcare.org,NOT AVAILABLE,NON-PROFIT,98,ATH,Y
44.80837306,-106.976002,WY,SHERIDAN,MEMORIAL HOSPITAL OF SHERIDAN COUNTY,4463,153482801,1401 WEST 5TH STREET,82801,(307) 672-1044,GENERAL ACUTE CARE,OPEN,SHERIDAN,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://health.wyo.gov/aging/hls/healthcare-facility-directory/,NOT AVAILABLE,SHERIDAN MEMORIAL HOSPITAL,PROPRIETARY,88,ATH,Y
48.21392773,-114.3240192,MT,KALISPELL,KALISPELL REGIONAL MEDICAL CENTER,5723,5359901,310 SUNNYVIEW LN,59901,(406) 752-5111,GENERAL ACUTE CARE,OPEN,FLATHEAD,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://dphhs.mt.gov/qad/healthcarefacilitieslist,http://www.krmc.org,NOT AVAILABLE,NON-PROFIT,178,ATH,Y
45.67010674,-111.0197147,MT,BOZEMAN,BOZEMAN DEACONESS HOSPITAL,5724,5459715,915 HIGHLAND BLVD,59715,(406) 414-5000,GENERAL ACUTE CARE,OPEN,GALLATIN,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://dphhs.mt.gov/qad/healthcarefacilitieslist,http://www.bozemandeaconess.org,NOT AVAILABLE,NON-PROFIT,86,ATH,Y
44.52659524,-109.0732833,WY,CODY,WEST PARK HOSPITAL DISTRICT,5922,182414,707 SHERIDAN AVENUE,82414,(307) 527-7501,CRITICAL ACCESS,OPEN,PARK,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://health.wyo.gov/aging/hls/healthcare-facility-directory/,http://www.westparkhospital.org,NOT AVAILABLE,GOVERNMENT - DISTRICT/AUTHORITY,25,ATH,Y
41.58495115,-109.2355009,WY,ROCK SPRINGS,MEMORIAL HOSPITAL OF SWEETWATER COUNTY,5925,882902,1200 COLLEGE DRIVE,82902,(307) 362-3711,GENERAL ACUTE CARE,OPEN,SWEETWATER,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://health.wyo.gov/aging/hls/healthcare-facility-directory/,http://www.sweetwatermedicalcenter.com,NOT AVAILABLE,GOVERNMENT - LOCAL,99,ATH,Y
